Song,Performer,Peak Position,grouped_genre,release_year,release_month,spotify_track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,time_signature,spotify_track_duration_ms,prior_song_count,prior_top10_count,prior_best_peak,prior_avg_peak
Proud,2 Chainz Featuring YG & Offset,96,hiphop,2018,4,57.0,0.781,0.81,-4.301,0.3559999999999999,0.7379999999999999,0.0,0.1439999999999999,0.908,173.949,10.0,4.0,234666.0,0,0,101.0,101.0
Bigger > You,"2 Chainz, Drake & Quavo",53,hiphop,2018,6,69.0,0.888,0.515,-6.246,0.271,0.247,0.0,0.446,0.264,141.009,1.0,4.0,225893.0,0,0,101.0,101.0
Doo Doo Brown,2 Hyped Brothers & A Dog,90,other,1992,3,27.0,0.906,0.382,-13.632,0.2819999999999999,0.0782,3.2e-05,0.113,0.63,126.073,9.0,4.0,338533.0,0,0,101.0,101.0
Wiggle It,2 In A Room,15,electronic,1990,10,28.0,0.789,0.8349999999999999,-13.952,0.0505,0.0744999999999999,4e-06,0.039,0.8359999999999999,122.816,2.0,4.0,244133.0,0,0,101.0,101.0
El Trago (The Drink),2 In A Room,86,electronic,1994,4,6.0,0.814,0.938,-5.557,0.0847,0.000703,0.4149999999999999,0.801,0.5759999999999998,125.008,6.0,4.0,334304.0,1,0,15.0,15.0
Walk Tall,2 Of Clubs,92,other,1967,3,1.0,0.4819999999999999,0.496,-10.216,0.028,0.0119,0.0,0.1739999999999999,0.53,139.07,11.0,4.0,148022.0,0,0,101.0,101.0
She Got It,2 Pistols Featuring T-Pain & Tay Dizm,24,hiphop,2008,3,53.0,0.406,0.7319999999999999,-6.191,0.128,0.00436,0.0,0.3579999999999999,0.31,133.817,10.0,4.0,274053.0,0,0,101.0,101.0
Twilight Zone,2 Unlimited,49,other,1992,6,49.0,0.7,0.99,-7.559,0.0499,0.0873,0.00211,0.151,0.77,127.884,3.0,4.0,248196.0,0,0,101.0,101.0
Get Ready For This,2 Unlimited,38,other,1992,9,35.0,0.82,0.921,-8.019,0.05,0.00291,0.83,0.0775,0.628,124.832,11.0,4.0,327586.0,1,0,49.0,49.0
Short Dick Man,20 Fingers Featuring Gillette,14,other,1994,9,48.0,0.894,0.764,-10.028,0.0604,0.00154,0.0349,0.0323,0.796,127.038,4.0,4.0,290933.0,0,0,101.0,101.0
Red Opps,21 Savage,74,hiphop,2017,1,63.0,0.7029999999999998,0.7089999999999999,-6.452,0.402,0.00908,0.0,0.127,0.569,140.998,9.0,4.0,163340.0,0,0,101.0,101.0
Bank Account,21 Savage,12,hiphop,2017,7,81.0,0.884,0.3459999999999999,-8.228,0.3509999999999999,0.0151,7e-06,0.0870999999999999,0.376,75.016,8.0,4.0,220306.0,1,0,74.0,74.0
Famous,21 Savage,94,hiphop,2017,7,57.0,0.779,0.5969999999999999,-9.652,0.434,0.7229999999999999,4.5e-05,0.0508,0.646,173.986,9.0,4.0,234280.0,2,0,12.0,43.0
A Lot,21 Savage,12,hiphop,2019,1,83.0,0.8369999999999999,0.636,-7.643,0.0859999999999999,0.0395,0.00125,0.342,0.274,145.972,1.0,4.0,288624.0,3,0,12.0,60.0
ASMR,21 Savage,95,hiphop,2019,1,66.0,0.84,0.543,-7.738,0.4759999999999999,0.0399,0.0,0.117,0.161,170.067,1.0,4.0,171713.0,4,0,12.0,48.0
All My Friends,21 Savage,67,hiphop,2019,1,73.0,0.7129999999999999,0.62,-4.513,0.0422,0.171,1e-06,0.1179999999999999,0.2059999999999999,130.09,0.0,4.0,211785.0,5,0,12.0,57.4
Break Da Law,21 Savage,70,hiphop,2019,1,61.0,0.904,0.5749999999999998,-7.823,0.3459999999999999,0.0493,0.0,0.256,0.3589999999999999,141.039,1.0,4.0,177747.0,6,0,12.0,59.0
Can't Leave Without It,21 Savage,58,hiphop,2019,1,73.0,0.872,0.5909999999999999,-6.952,0.3589999999999999,0.111,0.0,0.1439999999999999,0.696,131.982,6.0,4.0,205351.0,7,0,12.0,60.57142857142857
Gun Smoke,21 Savage,93,hiphop,2019,1,61.0,0.809,0.461,-5.677,0.0907,0.0008319999999999,4.4e-05,0.1429999999999999,0.325,85.992,10.0,4.0,167410.0,8,0,12.0,60.25
Monster,21 Savage,73,hiphop,2019,1,74.0,0.89,0.6069999999999999,-6.916,0.124,0.158,0.000228,0.1179999999999999,0.224,134.022,9.0,4.0,233039.0,9,0,12.0,63.888888888888886
Out For The Night,21 Savage,88,hiphop,2019,1,65.0,0.5929999999999999,0.632,-5.381,0.541,0.0133,0.0,0.64,0.0789,173.369,6.0,4.0,235232.0,10,0,12.0,64.8
Immortal,21 Savage,55,hiphop,2019,11,83.0,0.7409999999999999,0.87,-3.494,0.503,0.00813,0.0,0.114,0.663,184.194,6.0,4.0,254723.0,11,0,12.0,66.9090909090909
No Heart,21 Savage & Metro Boomin,43,hiphop,2016,11,73.0,0.906,0.444,-8.692,0.384,0.136,6.4e-05,0.1729999999999999,0.678,140.063,4.0,4.0,235040.0,0,0,101.0,101.0
X,21 Savage & Metro Boomin Featuring Future,36,hiphop,2016,10,76.0,0.8349999999999999,0.4129999999999999,-9.81,0.396,0.373,0.00133,0.101,0.111,149.004,1.0,4.0,258880.0,0,0,101.0,101.0
Mad Stalkers,"21 Savage, Offset & Metro Boomin",99,hiphop,2017,11,63.0,0.9,0.3649999999999999,-6.395,0.2349999999999999,0.1469999999999999,0.185,0.1789999999999999,0.136,135.003,10.0,4.0,202666.0,0,0,101.0,101.0
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",64,hiphop,2017,11,69.0,0.8449999999999999,0.399,-7.509,0.309,0.00525,0.74,0.1019999999999999,0.1479999999999999,143.049,1.0,4.0,257600.0,0,0,101.0,101.0
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",35,hiphop,2017,11,74.0,0.782,0.436,-7.033,0.155,0.331,1.3e-05,0.342,0.2429999999999999,82.994,2.0,4.0,268933.0,0,0,101.0,101.0
Valentino,24kGoldn,92,hiphop,2019,11,85.0,0.745,0.7179999999999999,-4.853,0.183,0.197,0.0,0.134,0.539,151.097,9.0,4.0,179133.0,0,0,101.0,101.0
The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,87,other,2000,9,16.0,0.83,0.948,-3.973,0.0455,0.106,2e-06,0.105,0.931,111.993,9.0,4.0,197626.0,0,0,101.0,101.0
I Get Around,2Pac,11,other,1993,7,70.0,0.8489999999999999,0.4219999999999999,-13.95,0.122,0.157,1.2e-05,0.255,0.624,96.216,10.0,4.0,259000.0,0,0,101.0,101.0
Keep Ya Head Up,2Pac,12,other,1993,10,69.0,0.636,0.7309999999999999,-7.037,0.4209999999999999,0.162,0.0,0.455,0.61,86.15,4.0,4.0,262506.0,1,0,11.0,11.0
So Many Tears,2Pac,44,other,1995,7,64.0,0.894,0.5979999999999999,-7.59,0.1729999999999999,0.0233,1.2e-05,0.0663,0.6049999999999999,92.708,1.0,4.0,239226.0,2,0,11.0,11.5
Temptations,2Pac,68,other,1995,9,58.0,0.774,0.651,-7.264,0.0982,0.123,2e-06,0.406,0.7019999999999998,90.704,1.0,4.0,300573.0,3,0,11.0,22.333333333333332
I Wonder If Heaven Got A Ghetto,2Pac,67,other,1997,12,43.0,0.94,0.684,-5.424,0.1179999999999999,0.136,0.0,0.0534,0.754,108.022,1.0,4.0,279853.0,4,0,11.0,33.75
Changes,2Pac,32,other,1998,12,64.0,0.8619999999999999,0.676,-6.336,0.0859,0.0378,0.0,0.251,0.281,111.111,7.0,4.0,268826.0,5,0,11.0,40.4
Until The End Of Time,2Pac,52,other,2001,4,58.0,0.757,0.7089999999999999,-6.716,0.203,0.0288,0.0,0.17,0.38,97.023,8.0,4.0,266506.0,6,0,11.0,39.0
Thugz Mansion,2Pac,19,other,2002,12,63.0,0.71,0.642,-6.206,0.2929999999999999,0.3019999999999999,0.0,0.263,0.891,87.873,5.0,4.0,247600.0,7,0,11.0,40.857142857142854
Do For Love,2Pac Featuring Eric Williams,21,other,1998,3,72.0,0.87,0.645,-3.956,0.307,0.0536,0.00152,0.0651,0.746,94.998,1.0,4.0,281600.0,0,0,101.0,101.0
